_id,state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
ObjectId("5ea70f340e7500002003616f"),3,AR,2017,3002997,16996,249,,1998,12609,94419,22369,64795,7255
ObjectId("5ea70f340e75000020036170"),3,AR,1998,2538000,12442,201,893,2442,8906,96271,23559,65525,7187
ObjectId("5ea70f340e75000020036171"),3,AR,1999,2551373,10848,143,710,2024,7971,92283,21692,63927,6664
ObjectId("5ea70f340e75000020036172"),3,AR,2000,2673400,11904,168,848,2001,8887,98115,21443,69740,6932
ObjectId("5ea70f340e75000020036173"),3,AR,2001,2694698,12190,148,892,2181,8969,99106,22196,69590,7320
ObjectId("5ea70f340e75000020036174"),3,AR,2002,2706268,11501,142,754,2524,8081,101171,23229,71129,6813
ObjectId("5ea70f340e75000020036175"),3,AR,2003,2727774,12449,180,911,2227,9131,99084,25016,68061,6007
ObjectId("5ea70f340e75000020036176"),3,AR,2004,2750000,13814,176,1183,2372,10083,110911,30151,74242,6518
ObjectId("5ea70f340e75000020036177"),3,AR,2005,2775708,14670,189,1202,2532,10747,112914,30118,75510,7286
ObjectId("5ea70f340e75000020036178"),3,AR,2006,2810872,15538,205,1325,2749,11259,112025,31864,72646,7515
ObjectId("5ea70f340e75000020036179"),3,AR,2007,2834797,15226,198,1294,3105,10629,112130,32035,73096,6999
ObjectId("5ea70f340e7500002003617a"),3,AR,2008,2855390,14649,165,1463,2777,10244,110360,33912,69905,6543
ObjectId("5ea70f340e7500002003617b"),3,AR,2009,2889450,14905,179,1378,2576,10772,109078,34753,68228,6097
ObjectId("5ea70f340e7500002003617c"),3,AR,2010,2921588,14711,134,1321,2369,10887,103820,32463,65796,5561
ObjectId("5ea70f340e7500002003617d"),3,AR,2011,2938582,14173,160,1230,2357,10426,110430,34016,70645,5769
ObjectId("5ea70f340e7500002003617e"),3,AR,2012,2949828,13851,174,1233,2310,10134,109389,32673,70982,5734
ObjectId("5ea70f340e7500002003617f"),3,AR,2016,2988231,16563,217,2143,2125,12007,98092,23814,67091,7187
ObjectId("5ea70f340e75000020036180"),3,AR,1995,2484000,13741,259,925,3122,9435,102780,24763,69935,8082
ObjectId("5ea70f340e75000020036181"),3,AR,2015,2977853,15769,189,1425,2117,11455,97391,22851,68720,5820
ObjectId("5ea70f340e75000020036182"),3,AR,2013,2958765,13705,158,1135,2261,9796,106477,30369,70430,5678
ObjectId("5ea70f340e75000020036183"),3,AR,2014,2966835,14248,175,1291,2037,10220,99452,24816,69001,5635
ObjectId("5ea70f340e75000020036184"),3,AR,1980,2284037,7656,210,609,1848,4989,79390,25559,49558,4273
ObjectId("5ea70f340e75000020036185"),3,AR,1981,2294000,7119,209,577,1776,4557,79972,24732,50959,4281
ObjectId("5ea70f340e75000020036186"),3,AR,1982,2291000,7438,187,622,1805,4824,81259,24547,52450,4262
ObjectId("5ea70f340e75000020036187"),3,AR,1983,2328000,6930,178,586,1614,4552,74563,22380,48140,4043
ObjectId("5ea70f340e75000020036188"),3,AR,1984,2349000,7549,176,697,1587,5089,71554,20810,46807,3937
ObjectId("5ea70f340e75000020036189"),3,AR,1985,2359000,8199,187,686,1617,5709,76372,22207,49957,4208
ObjectId("5ea70f340e7500002003618a"),3,AR,1986,2372000,9365,191,686,1890,6598,83729,24429,54677,4623
ObjectId("5ea70f340e7500002003618b"),3,AR,1987,2388000,9839,182,779,1890,6988,91537,25743,60862,4932
ObjectId("5ea70f340e7500002003618c"),3,AR,1988,2422000,10237,211,780,2037,7209,91962,26443,60363,5156
ObjectId("5ea70f340e7500002003618d"),3,AR,1989,2406000,11397,203,924,2660,7610,98213,28738,63084,6391
ObjectId("5ea70f340e7500002003618e"),3,AR,1990,2350725,12511,241,1019,2661,8590,101897,28464,66630,6803
ObjectId("5ea70f340e7500002003618f"),3,AR,1991,2372000,14072,264,1058,3217,9533,108677,29093,71487,8097
ObjectId("5ea70f340e75000020036190"),3,AR,1992,2399000,13831,259,990,3011,9571,100402,26214,66288,7900
ObjectId("5ea70f340e75000020036191"),3,AR,1993,2424000,14381,247,1028,3027,10079,102231,26646,67767,7818
ObjectId("5ea70f340e75000020036192"),3,AR,1994,2453000,14598,294,1028,3158,10118,103115,26911,68478,7726
ObjectId("5ea70f340e75000020036193"),3,AR,1996,2510000,13161,219,1046,2864,9032,104790,23925,73010,7855
ObjectId("5ea70f340e75000020036194"),3,AR,1997,2523000,13293,250,1098,2814,9131,105759,25568,72253,7938
ObjectId("5ea70f340e75000020036195"),3,AR,2018,3013825,16384,216,,1594,12378,87793,19193,61487,7113
ObjectId("5ea70f340e75000020036196"),3,AR,1979,2180000,7984,198,595,1626,5565,70949,21457,45267,4225
ObjectId("5ea70f340e75000020036197"),6,CA,2016,39296476,174796,1930,13702,54789,104375,1002070,188304,637010,176756
ObjectId("5ea70f340e75000020036198"),6,CA,2000,33871648,210531,2079,9785,60249,138418,1056183,222293,651855,182035
ObjectId("5ea70f340e75000020036199"),6,CA,2001,34600463,212867,2206,9960,64614,136087,1134189,232273,697739,204177
ObjectId("5ea70f340e7500002003619a"),6,CA,1988,28168000,261912,2936,11780,86141,161055,1607180,407631,933636,265913
ObjectId("5ea70f340e7500002003619b"),6,CA,2014,38792291,153763,1700,8389,48681,91804,947193,202669,592673,151851
ObjectId("5ea70f340e7500002003619c"),6,CA,1996,31878000,274996,2916,10244,94222,167614,1385135,312212,830457,242466
ObjectId("5ea70f340e7500002003619d"),6,CA,1997,32268000,257582,2579,10189,81468,163346,1312367,299240,784405,228722
ObjectId("5ea70f340e7500002003619e"),6,CA,1998,32667000,229883,2171,9782,68782,149148,1188791,269012,724262,195517
ObjectId("5ea70f340e7500002003619f"),6,CA,1999,33145121,207879,2005,9363,60039,136472,1053285,223814,660991,168480
ObjectId("5ea70f340e750000200361a0"),6,CA,2002,35001986,208388,2395,10198,64968,130827,1176484,238428,715692,222364
ObjectId("5ea70f340e750000200361a1"),6,CA,2003,35462712,205551,2407,9994,63770,129380,1215086,242274,731486,241326
ObjectId("5ea70f340e750000200361a2"),6,CA,2004,35842038,189175,2392,9615,61768,115400,1227194,245903,728687,252604
ObjectId("5ea70f340e750000200361a3"),6,CA,2005,36154147,190178,2503,9392,63622,114661,1200531,250521,692467,257543
ObjectId("5ea70f340e750000200361a4"),6,CA,2006,36457549,194483,2486,9235,71142,111620,1159988,247230,669103,243655
ObjectId("5ea70f340e750000200361a5"),6,CA,2007,36553215,191561,2262,9046,70706,109547,1112510,237850,654526,220134
ObjectId("5ea70f340e750000200361a6"),6,CA,2008,36756666,185329,2142,8903,69388,104896,1080996,237811,650656,192529
ObjectId("5ea70f340e750000200361a7"),6,CA,1995,31589000,305154,3531,10554,104611,186458,1536830,353895,902456,280479
ObjectId("5ea70f340e750000200361a8"),6,CA,2015,38993940,166883,1861,9341,52862,99349,1024914,197404,656517,170993
ObjectId("5ea70f340e750000200361a9"),6,CA,1979,22696000,184087,2952,12239,75767,93129,1511021,496310,847148,167563
ObjectId("5ea70f340e750000200361aa"),6,CA,1980,23532680,210290,3411,13693,90420,102766,1633042,545138,913070,174834
ObjectId("5ea70f340e750000200361ab"),6,CA,1981,24159000,208485,3143,13566,93781,97995,1625302,540806,921939,162557
ObjectId("5ea70f340e750000200361ac"),6,CA,1982,24724000,201429,2779,12529,91988,94133,1599827,499466,935831,164530
ObjectId("5ea70f340e750000200361ad"),6,CA,1983,25174000,194491,2639,12093,85826,93933,1486487,460460,867123,158904
ObjectId("5ea70f340e750000200361ae"),6,CA,1984,25622000,195589,2717,11702,83924,97246,1461731,443094,857328,161309
ObjectId("5ea70f340e750000200361af"),6,CA,1985,26365000,201763,2770,11421,86387,101185,1516710,448506,890967,177237
